age,job,marital,education,housing,loan,month,duration,campaign,pdays,previous
44,blue-collar,married,basic.4y,yes,no,aug,210,1,999,0
53,technician,married,unknown,no,no,nov,138,1,999,0
28,management,single,university.degree,yes,no,jun,339,3,6,2
39,services,married,high.school,no,no,apr,185,2,999,0
55,retired,married,basic.4y,yes,no,aug,137,1,3,1
30,management,divorced,basic.4y,yes,no,jul,68,8,999,0
37,blue-collar,married,basic.4y,yes,no,may,204,1,999,0
39,blue-collar,divorced,basic.9y,yes,no,may,191,1,999,0
36,admin.,married,university.degree,no,no,jun,174,1,3,1
27,blue-collar,single,basic.4y,yes,no,apr,191,2,999,1
34,housemaid,single,university.degree,no,no,may,62,2,999,0
41,management,married,university.degree,yes,no,aug,789,1,999,0
55,management,married,university.degree,no,no,aug,372,3,999,0
33,services,divorced,high.school,yes,no,may,75,5,999,0
26,admin.,married,high.school,no,yes,jun,1021,1,999,0
52,services,married,high.school,yes,no,jul,117,2,999,0
35,services,married,high.school,no,no,apr,1034,2,999,0
27,admin.,single,university.degree,no,no,oct,540,1,999,0
28,blue-collar,married,basic.9y,no,no,may,140,1,999,0
26,unemployed,single,basic.9y,yes,yes,jul,104,4,999,0
41,unemployed,married,basic.9y,yes,no,apr,246,1,999,1
35,blue-collar,single,unknown,no,yes,jun,1114,1,999,0
40,admin.,married,university.degree,yes,no,jul,340,1,999,0
32,technician,single,professional.course,no,no,jul,35,1,999,0
41,blue-collar,married,high.school,yes,yes,jul,241,3,999,0
34,entrepreneur,single,university.degree,yes,no,may,168,2,999,0
49,technician,divorced,unknown,yes,yes,oct,81,1,999,0
37,admin.,married,high.school,yes,no,apr,226,1,2,1
35,blue-collar,married,basic.6y,yes,no,may,746,2,999,0
38,blue-collar,single,basic.4y,no,no,jul,41,5,999,0
47,services,divorced,high.school,no,no,jun,115,1,999,0
46,admin.,married,university.degree,no,no,may,227,2,999,0
27,technician,married,professional.course,yes,no,may,275,1,999,0
29,technician,married,high.school,yes,no,jun,365,3,999,0
32,services,divorced,basic.9y,no,no,jul,68,2,999,0
36,blue-collar,married,basic.6y,no,no,may,54,1,999,2
29,blue-collar,married,basic.4y,yes,yes,jul,93,1,999,0
47,technician,married,high.school,no,no,apr,267,2,999,1
44,blue-collar,married,basic.4y,yes,no,jun,17,25,999,0
54,management,married,university.degree,yes,yes,aug,121,11,999,0
36,blue-collar,married,basic.9y,no,no,may,294,2,999,0
42,blue-collar,married,basic.4y,yes,no,may,24,1,999,0
44,blue-collar,married,basic.4y,no,no,jul,345,5,999,0
72,retired,divorced,basic.6y,yes,no,nov,244,2,999,0
48,blue-collar,married,basic.9y,no,no,aug,213,3,999,0
36,management,married,high.school,yes,no,nov,371,1,999,0
35,housemaid,married,basic.4y,yes,no,aug,87,1,999,0
43,entrepreneur,married,basic.6y,yes,no,may,195,3,999,1
56,retired,married,basic.4y,yes,no,aug,102,1,999,0
42,blue-collar,married,basic.9y,yes,no,jun,93,2,999,0
31,admin.,single,university.degree,yes,no,may,244,1,999,0
32,technician,married,basic.9y,no,no,jun,52,5,999,0
33,blue-collar,married,high.school,yes,yes,may,164,2,999,1
31,blue-collar,married,basic.6y,no,no,jun,91,4,999,0
39,management,married,university.degree,yes,no,may,68,1,999,0
30,blue-collar,married,high.school,no,no,may,122,4,999,0
24,management,single,university.degree,yes,no,may,45,4,999,1
24,admin.,married,high.school,no,yes,may,61,1,999,0
38,blue-collar,married,professional.course,yes,no,may,162,4,999,0
26,blue-collar,married,high.school,yes,no,jun,126,12,999,0
41,technician,married,professional.course,no,no,may,92,1,999,0
34,admin.,married,high.school,yes,yes,apr,329,1,999,0
